"","Code","Deck_Type","Deck_Name","Name","Card_Type","Form","Attribute","Type","Color","Card_Level","DP","Play_Cost","Cost_Digievolution1","Level_Digievolution1","Cost_Digievolution2","Level_Digievolution2","Effect","Digivolve_Effect","Security_Effect"
"1","ST1-01","Start Deck","Gaia Red","Koromon","Digi-Egg","In-Training","-","Lesser","Red","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn] This Digimon gets +1000 DP as long as it has 4 or more digivolution cards.","-"
"2","ST1-02","Start Deck","Gaia Red","Biyomon","Digimon","Rookie","Vaccine","Bird","Red","3",3000,2,0,"2",NA,NA,"-","-","-"
"3","ST1-03","Start Deck","Gaia Red","Agumon","Digimon","Rookie","Vaccine","Reptile","Red","3",2000,3,0,"2",NA,NA,"-","[Your Turn] This Digimon gets +1000 DP.","-"
"4","ST1-04","Start Deck","Gaia Red","Dracomon","Digimon","Rookie","Data","Dragon","Red","3",4000,3,0,"2",NA,NA,"-","-","-"
"5","ST1-05","Start Deck","Gaia Red","Birdramon","Digimon","Champion","Vaccine","Giant Bird","Red","4",5000,4,2,"3",NA,NA,"-","-","-"
"6","ST1-06","Start Deck","Gaia Red","Coredramon","Digimon","Champion","Virus","Dragon","Red","4",6000,5,2,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"7","ST1-07","Start Deck","Gaia Red","Greymon","Digimon","Champion","Vaccine","Dinosaur","Red","4",4000,5,2,"3",NA,NA,"-","<Security Attack +1> (This Digimon checks 1 extra security card.).","-"
"8","ST1-08","Start Deck","Gaia Red","Garudamon","Digimon","Ultimate","Vaccine","Birdkin","Red","5",7000,6,3,"4",NA,NA,"[When Digivolving] 1 of your Digimon gets +3000 DP for the turn.","-","-"
"9","ST1-09","Start Deck","Gaia Red","MetalGreymon","Digimon","Ultimate","Vaccine","Cyborg","Red","5",7000,7,3,"4",NA,NA,"-","[Your Turn] When this Digimon is blocked, gain 3 memory.","-"
"10","ST1-10","Start Deck","Gaia Red","Phoenixmon","Digimon","Mega","Vaccine","Holy Beast","Red","6",12000,10,2,"5",NA,NA,"-","-","-"
"11","ST1-11","Start Deck","Gaia Red","WarGreymon","Digimon","Mega","Vaccine","Dragonkin","Red","6",12000,12,4,"5",NA,NA,"[Your Turn] For every 2 digivolution cards this Digimon has, it gets <Security Attack +1> (This Digimon checks 1 extra security card.).","-","-"
"12","ST1-12","Start Deck","Gaia Red","Taichi Yagami","Tamer","-","-","-","Red",NA,NA,2,NA,NA,NA,NA,"[Your Turn] All of your Digimon get +1000 DP.","-","[Security] Play this card without paying its cost."
"13","ST1-13","Start Deck","Gaia Red","Shadow Wing","Option","-","-","-","Red",NA,NA,1,NA,NA,NA,NA,"[Main] 1 of your Digimon gets +3000 DP for the turn.","-","[Security] All of your Digimon get <Security Attack +1>  (This Digimon checks 1 extra security card.) until the end of your next turn."
"14","ST1-14","Start Deck","Gaia Red","Starlight Explosion","Option","-","-","-","Red",NA,NA,2,NA,NA,NA,NA,"[Main] All of your Security Digimon get +7000 DP until the end of your opponent's next turn.","-","[Security] All of your Security Digimon get +7000 DP for the turn."
"15","ST1-15","Start Deck","Gaia Red","Giga Destroyer","Option","-","-","-","Red",NA,NA,6,NA,NA,NA,NA,"[Main] Delete up to 2 of your opponent's Digimon with 4000 DP or less.","-","[Security] Activate this card's [Main] effect."
"16","ST1-16","Start Deck","Gaia Red","Gaia Force","Option","-","-","-","Red",NA,NA,8,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's Digimon.","-","[Security] Activate this card's [Main] effect."
"17","ST2-01","Start Deck","Cocytus Blue","Tsunomon","Digi-Egg","In-Training","-","Lesser","Blue","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn] This Digimon gets +1000 DP when battling an opponent's Digimon that has no digivolution cards.","-"
"18","ST2-02","Start Deck","Cocytus Blue","Gomamon","Digimon","Rookie","Vaccine","Sea Beast","Blue","3",3000,2,0,"2",NA,NA,"-","-","-"
"19","ST2-03","Start Deck","Cocytus Blue","Gabumon","Digimon","Rookie","Data","Reptile","Blue","3",2000,3,0,"2",NA,NA,"-","[When Attacking] Trash a digivolution card under an opponent's Digimon with a level of 5 or less.","-"
"20","ST2-04","Start Deck","Cocytus Blue","Bearmon","Digimon","Rookie","Vaccine","Beast","Blue","3",4000,3,0,"2",NA,NA,"-","-","-"
"21","ST2-05","Start Deck","Cocytus Blue","Ikkakumon","Digimon","Champion","Vaccine","Sea Beast","Blue","4",5000,4,2,"3",NA,NA,"-","-","-"
"22","ST2-06","Start Deck","Cocytus Blue","MetalGarurumon","Digimon","Champion","Vaccine","Beast","Blue","4",4000,5,2,"3",NA,NA,"-","[When Attacking] Trash a digivolution card under an opponent's Digimon.","-"
"23","ST2-07","Start Deck","Cocytus Blue","Grizzlymon","Digimon","Champion","Vaccine","Beast","Blue","4",6000,5,2,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"24","ST2-08","Start Deck","Cocytus Blue","WereGarurumon","Digimon","Ultimate","Vaccine","Beastkin","Blue","5",7000,7,3,"4",NA,NA,"-","[Your Turn] As long as your opponent has a Digimon with no digivolution cards, this Digimon gets <Security Attack +1> (This Digimon checks 1 extra security card.).","-"
"25","ST2-09","Start Deck","Cocytus Blue","Zudomon","Digimon","Ultimate","Vaccine","Sea Beast","Blue","5",7000,6,3,"4",NA,NA,"[When Digivolving] Trash 2 digivolution cards under an opponent's Digimon.","-","-"
"26","ST2-10","Start Deck","Cocytus Blue","Plesiomon","Digimon","Mega","Data","Plesiosaur","Blue","6",12000,10,2,"5",NA,NA,"-","-","-"
"27","ST2-11","Start Deck","Cocytus Blue","MetalGarurumon","Digimon","Mega","Data","Cyborg","Blue","6",11000,12,4,"5",NA,NA,"[When Attacking][Once Per Turn] Unsuspend this Digimon.","-","-"
"28","ST2-12","Start Deck","Cocytus Blue","Yamato Ishida","Tamer","-","-","-","Blue",NA,NA,2,NA,NA,NA,NA,"[Start of Your Turn] If your opponent has a Digimon with no digivolution cards, gain 1 memory.","-","[Security] Play this card without paying its cost."
"29","ST2-13","Start Deck","Cocytus Blue","Hammer Spark","Option","-","-","-","Blue",NA,NA,NA,NA,NA,NA,NA,"[Main] Gain 1 memory.","-","[Security] Gain 2 memory."
"30","ST2-14","Start Deck","Cocytus Blue","Sorrow Blue","Option","-","-","-","Blue",NA,NA,2,NA,NA,NA,NA,"[Main] Choose 1 of your opponent's Digimon that has no digivolution cards. That Digimon can't attack or block until the end of your opponent's next turn.","-","[Security] Choose 1 of your opponent's Digimon that has no digivolution cards. That Digimon can't attack or block until the end of your next turn."
"31","ST2-15","Start Deck","Cocytus Blue","Kaiser Nail","Option","-","-","-","Blue",NA,NA,4,NA,NA,NA,NA,"[Main] Choose a Digimon digivolution card placed under 1 of your Digimon and play it as a Digimon without paying its cost.","-","[Security] Activate this card's [Main] effect."
"32","ST2-16","Start Deck","Cocytus Blue","Cocytus Breath","Option","-","-","-","Blue",NA,NA,7,NA,NA,NA,NA,"[Main] Return 1 of your opponent's Digimon to its owner's hand. Trash any digivolution cards placed under it.","-","[Security] Activate this card's [Main] effect."
"33","ST3-01","Start Deck","Heaven's Yellow","Tokomon","Digi-Egg","In-Training","-","Lesser","Yellow","2",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted by dropping to 0 DP, this Digimon gets +1000 DP for the turn.","-"
"34","ST3-02","Start Deck","Heaven's Yellow","Salamon","Digimon","Rookie","Vaccine","Mammal","Yellow","3",3000,2,0,"2",NA,NA,"-","-","-"
"35","ST3-03","Start Deck","Heaven's Yellow","Tapirmon","Digimon","Rookie","Vaccine","Holy Beast","Yellow","3",4000,3,0,"2",NA,NA,"-","-","-"
"36","ST3-04","Start Deck","Heaven's Yellow","Patamon","Digimon","Rookie","Data","Mammal","Yellow","3",1000,3,0,"2",NA,NA,"-","[Your Turn][Once Per Turn] When an opponent's Digimon is deleted by dropping to 0 DP, gain 1 memory.","-"
"37","ST3-05","Start Deck","Heaven's Yellow","Angemon","Digimon","Champion","Vaccine","Angel","Yellow","4",4000,5,2,"3",NA,NA,"-","[When Attacking] If you have 4 or more security cards, gain 1 memory.","-"
"38","ST3-06","Start Deck","Heaven's Yellow","Gatomon","Digimon","Champion","Vaccine","Holy Beast","Yellow","4",5000,4,2,"3",NA,NA,"-","-","-"
"39","ST3-07","Start Deck","Heaven's Yellow","Unimon","Digimon","Champion","Vaccine","Mythical Beast","Yellow","4",6000,5,2,"3",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.","-","-"
"40","ST3-08","Start Deck","Heaven's Yellow","MagnaAngemon","Digimon","Ultimate","Vaccine","Archangel","Yellow","5",7000,7,3,"4",NA,NA,"-","[When Attacking] 1 of your opponent's Digimon gets -1000 DP for the turn.","-"
"41","ST3-09","Start Deck","Heaven's Yellow","Angewomon","Digimon","Ultimate","Vaccine","Archangel","Yellow","5",7000,6,3,"4",NA,NA,"[When Digivolving] When you have 3 security cards or less, trigger <Recovery +1 (Deck)> (Take the top card of your deck and place it on top of your security stack.).","-","-"
"42","ST3-10","Start Deck","Heaven's Yellow","Magnadramon","Digimon","Mega","Vaccine","Holy Dragon/Four Great Dragons","Yellow","6",12000,10,2,"5",NA,NA,"-","-","-"
"43","ST3-11","Start Deck","Heaven's Yellow","Seraphimon","Digimon","Mega","Vaccine","Seraph/","Yellow","6",10000,12,4,"5",NA,NA,"[When Attacking] 1 of your opponent's Digimon gets -4000 DP for the turn.","-","-"
"44","ST3-12","Start Deck","Heaven's Yellow","Takeru Takaishi","Tamer","-","-","-","Yellow",NA,NA,2,NA,NA,NA,NA,"[Opponent's Turn] All of your Security Digimon get +2000 DP.","-","[Security] Play this card without paying its cost."
"45","ST3-13","Start Deck","Heaven's Yellow","Heaven's Gate","Option","-","-","-","Yellow",NA,NA,1,NA,NA,NA,NA,"[Main] 1 of your Digimon gets +3000 DP for the turn.","-","[Security] All of your Digimon and Security Digimon get +5000 DP for the turn. Add this card to its owner's hand."
"46","ST3-14","Start Deck","Heaven's Yellow","Heaven's Charm","Option","-","-","-","Yellow",NA,NA,2,NA,NA,NA,NA,"[Main] 1 of your opponent's Digimon gets -2000 DP for the turn.","-","[Security] Add this card to its owner's hand."
